"RTL_STORE_CD","RTL_FIPS_COUNTY_CD","STATE_CD","RTL_FIPS_COUNTY_DSC","CUSTCOL_57","RTL_CITY_DSC","RTL_PREMISE_TYPE_CD","RTL_PREMISE_TYPE_DSC","RTL_CHANNEL_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_CD","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG","WJXBFS1"
"205545904","057","UT","WEBER","49057","OGDEN","ON","ON PREMISE","52","LODGING","1","FULL SERVICE LODGING","Y","Y",2
"102222837","049","UT","UTAH","49049","PROVO","ON","ON PREMISE","50","DINING","6","FAST CASUAL","Y","Y",3.5833
"101441062","053","UT","WASHINGTON","49053","HURRICANE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",55
"101802941","011","UT","DAVIS","49011","LAYTON","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",199.4165
"101765946","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",154
"103734159","035","UT","SALT LAKE","49035","WEST JORDAN","OFF","OFF PREMISE","04","CIGARETTE OUTLET","4","CONVENTIONAL CIGARETTE OUTLET","Y","N",88.8334
"100846428","011","UT","DAVIS","49011","LAYTON","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",25
"103858273","013","UT","DUCHESNE","49013","ROOSEVELT","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",199
"100651536","015","UT","EMERY","49015","GREEN RIVER","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",40
"105626501","045","UT","TOOELE","49045","TOOELE","ON","ON PREMISE","51","BAR/NIGHTCLUB","2","CASUAL NIGHTCLUB","Y","Y",46
